attraction_name,district,category,lat,lon,uniqueness_score,accessibility,eco_score,cultural_score,hidden_gem_score
Sigiriya Rock Fortress,Matale,Heritage,7.9579,80.7608,4.1,2,6.4,3.8,62
Temple of the Tooth (Sri Dalada Maligawa),Kandy,Cultural,7.293,80.6413,3.9,4,3.7,7.3,70
Ella Rock,Badulla,Nature,6.8456,81.0534,4.2,3,2.1,4.9,59
Little Adams Peak,Badulla,Nature,6.8398,81.0383,4.4,5,3.7,1.8,61
Galle Fort,Galle,Heritage,6.0275,80.2167,4.0,3,4.8,8.5,69
Pinnawala Elephant Orphanage,Kegalle,Eco,7.3599,80.3594,3.8,4,6.1,4.7,64
Horton Plains (World's End),Nuwara Eliya,Nature,6.8009,80.799,4.2,3,4.8,5.2,65
Adam's Peak (Poonagala trails),Nuwara Eliya,Religious,6.8167,80.4667,4.3,3,2.8,6.9,66
Mirissa Beach,Matara,Beach,5.948,80.4545,4.0,5,4.4,5.7,70
Yala National Park (quiet areas),Hambantota,Wildlife,6.3667,81.52,4.1,3,5.3,4.3,60
Ritigala Forest Monastery,Anuradhapura,Heritage,8.103,80.5667,5.0,4,5.8,1.0,59
Kumana Bird Sanctuary,Ampara,Eco,7.8314,81.7246,5.2,3,6.9,4.0,84
Hakgala Botanical Garden lesser trails,Nuwara Eliya,Nature,6.864,80.75,4.9,2,2.8,4.3,71
Knuckles Mountain Range viewpoint,Matale,Nature,7.267,80.837,5.0,3,2.5,4.2,72
Ravana Falls (hidden trail),Badulla,Nature,6.858,81.0638,4.3,3,3.0,5.3,62
Madu River Backwaters (Eco route),Galle,Eco,6.215,80.0667,4.7,5,5.8,8.4,64
Kithulgala River Trails (local rafting),Kegalle,Adventure,7.245,80.5,4.7,1,3.3,5.5,75
Poonagala Tea Estate (small estate experience),Nuwara Eliya,Cultural,6.975,80.8,4.9,2,4.7,6.0,72
Sembuwatta Lake (hidden),Matale,Nature,7.2411,80.6833,5.2,3,6.6,1.0,54
Meemure Village (remote cultural),Kandy,Cultural,7.259,80.92,5.4,3,2.6,5.5,73
Bogoda Wooden Bridge,Badulla,Heritage,6.9086,81.0697,5.5,4,4.3,5.3,76
Kanneliya Rainforest (lesser trails),Galle,Eco,6.254,80.199,5.0,3,4.0,5.9,75
Mannar Flamingo / Vankalai birding,Mannar,Eco,8.988,79.899,5.4,1,4.9,3.4,80
Phewlaa Village homestay (rural experience),Badulla,Cultural,7.12,81.0,5.8,2,4.3,4.2,82
Kudumbigala Ramanaya temple,Ampara,Heritage,7.25,81.7,5.9,1,5.7,3.1,81
One Tree Hill (hidden viewpoint),Gampaha,Nature,7.14,80.0,5.7,3,4.9,2.9,75
Dondra Head Lighthouse,Matara,Heritage,5.9417,80.55,5.1,2,2.0,7.1,72
Ancient Tombs of Lahugala,Ampara,Heritage,7.32,81.65,6.1,3,3.3,2.2,77
Kuda Oya Reservoir trails,Kegalle,Nature,7.25,80.47,5.7,3,6.4,1.2,60
Kudagammana Falls (small),Nuwara Eliya,Nature,6.9,80.7,5.8,5,3.7,3.7,70
Horagolla Estate Gardens,Colombo,Scenic,6.9271,79.9179,5.5,4,6.0,4.5,69
Ancient temples of Polonnaruwa (lesser known),Polonnaruwa,Heritage,7.9389,81.0,4.8,1,6.5,5.0,66
